time_stamp,value_real
2016-10-18 00:57:02,46.804124
2016-10-18 00:57:12,3912.250859
2016-10-18 00:57:22,46.85567
2016-10-18 00:57:32,3871.975945
2016-10-18 00:57:42,46.632302
2016-10-18 00:57:52,3856.872852
2016-10-18 00:58:02,49.5189
2016-10-18 00:58:12,3914.690722
2016-10-18 00:58:22,47.474227
2016-10-18 00:58:32,3916.134021
2016-10-18 00:58:42,48.573883
2016-10-18 00:58:52,3891.168385
2016-10-18 00:59:02,46.941581
2016-10-18 00:59:12,3861.718213
2016-10-18 00:59:22,47.388316
2016-10-18 00:59:32,3887.800687
2016-10-18 00:59:42,47.061856
2016-10-18 00:59:52,3891.958763
2016-10-18 01:00:02,49.295533
2016-10-18 01:00:12,3903.762887
2016-10-18 01:00:22,47.989691
2016-10-18 01:00:32,3889.364261
2016-10-18 01:00:42,49.347079
2016-10-18 01:00:52,3903.969072
2016-10-18 01:01:02,47.388316
2016-10-18 01:01:12,3901.04811
2016-10-18 01:01:22,49.072165
2016-10-18 01:01:32,3897.491409
2016-10-18 01:01:42,47.749141
2016-10-18 01:01:52,3902.817869
2016-10-18 01:02:02,47.439863
2016-10-18 01:02:12,3899.261168
2016-10-18 01:02:22,45.962199
2016-10-18 01:02:32,3893.848797
2016-10-18 01:02:42,47.439863
2016-10-18 01:02:52,3871.993127
2016-10-18 01:03:02,47.491409
2016-10-18 01:03:12,3870.670103
2016-10-18 01:03:22,46.735395
2016-10-18 01:03:32,3866.769759
2016-10-18 01:03:42,48.900344
2016-10-18 01:03:52,3900.017182
2016-10-18 01:04:02,47.42268
2016-10-18 01:04:12,3864.054983
2016-10-18 01:04:22,47.594502
2016-10-18 01:04:32,3877.33677
2016-10-18 01:04:42,47.852234
2016-10-18 01:04:52,3890.841924
2016-10-18 01:05:02,47.164948
2016-10-18 01:05:12,3869.776632
2016-10-18 01:05:22,48.006873
2016-10-18 01:05:32,3902.319588
2016-10-18 01:05:42,47.989691
2016-10-18 01:05:52,3878.092784
2016-10-18 01:06:02,45.738832
2016-10-18 01:06:13,3872.33677
2016-10-18 01:06:22,46.391753
2016-10-18 01:06:33,3902.920962
2016-10-18 01:06:42,47.371134
2016-10-18 01:06:53,3865.652921
2016-10-18 01:07:02,47.474227
2016-10-18 01:07:13,3901.735395
2016-10-18 01:07:22,46.168385
2016-10-18 01:07:33,3903.264605
2016-10-18 01:07:42,48.006873
