time_stamp,value_int
2016-10-18 10:10:26,24
2016-10-18 10:10:36,24
2016-10-18 10:10:46,24
2016-10-18 10:10:56,25
2016-10-18 10:11:06,25
2016-10-18 10:11:16,24
2016-10-18 10:11:26,24
2016-10-18 10:11:36,24
2016-10-18 10:11:46,24
2016-10-18 10:11:56,24
2016-10-18 10:12:06,24
2016-10-18 10:12:16,24
2016-10-18 10:12:27,24
2016-10-18 10:12:36,24
2016-10-18 10:12:46,24
2016-10-18 10:12:56,24
2016-10-18 10:13:07,24
2016-10-18 10:13:16,24
2016-10-18 10:13:26,24
2016-10-18 10:13:36,25
2016-10-18 10:13:46,24
2016-10-18 10:13:57,24
2016-10-18 10:14:06,24
2016-10-18 10:14:16,25
2016-10-18 10:14:26,25
2016-10-18 10:14:37,25
2016-10-18 10:14:46,24
2016-10-18 10:14:57,24
2016-10-18 10:15:06,25
2016-10-18 10:15:16,24
2016-10-18 10:15:27,25
2016-10-18 10:15:36,24
2016-10-18 10:15:46,24
2016-10-18 10:15:56,24
2016-10-18 10:16:07,25
2016-10-18 10:16:17,25
2016-10-18 10:16:27,24
2016-10-18 10:16:37,24
2016-10-18 10:16:47,24
2016-10-18 10:16:57,24
2016-10-18 10:17:07,24
2016-10-18 10:17:17,24
2016-10-18 10:17:27,24
2016-10-18 10:17:37,24
2016-10-18 10:17:47,24
2016-10-18 10:17:57,24
2016-10-18 10:18:07,24
2016-10-18 10:18:17,24
2016-10-18 10:18:27,25
2016-10-18 10:18:37,24
2016-10-18 10:18:47,24
2016-10-18 10:18:57,24
2016-10-18 10:19:07,24
2016-10-18 10:19:17,24
2016-10-18 10:19:27,24
2016-10-18 10:19:37,24
2016-10-18 10:19:47,25
2016-10-18 10:19:57,25
2016-10-18 10:20:07,24
2016-10-18 10:20:17,24
2016-10-18 10:20:27,24
2016-10-18 10:20:37,24
2016-10-18 10:20:47,25
2016-10-18 10:20:57,24
2016-10-18 10:21:07,25
2016-10-18 10:21:17,25
2016-10-18 10:21:27,24
2016-10-18 10:21:37,24
2016-10-18 10:21:47,24
2016-10-18 10:21:57,24
2016-10-18 10:22:07,24
2016-10-18 10:22:17,24
2016-10-18 10:22:27,24
2016-10-18 10:22:37,25
2016-10-18 10:22:47,24
2016-10-18 10:22:57,25
2016-10-18 10:23:07,25
2016-10-18 10:23:17,24
2016-10-18 10:23:27,24
2016-10-18 10:23:37,24
2016-10-18 10:23:47,24
2016-10-18 10:23:57,24
2016-10-18 10:24:07,24
2016-10-18 10:24:17,24
2016-10-18 10:24:27,24
2016-10-18 10:24:37,24
2016-10-18 10:24:47,24
2016-10-18 10:24:57,24
2016-10-18 10:25:07,25
2016-10-18 10:25:17,24
2016-10-18 10:25:27,25
2016-10-18 10:25:37,25
2016-10-18 10:25:47,25
2016-10-18 10:25:57,25
2016-10-18 10:26:07,25
2016-10-18 10:26:17,25
2016-10-18 10:26:27,25
2016-10-18 10:26:37,25
2016-10-18 10:26:47,25
2016-10-18 10:26:57,25
2016-10-18 10:27:07,25
2016-10-18 10:27:17,25
2016-10-18 10:27:27,25
2016-10-18 10:27:37,25
2016-10-18 10:27:47,24
2016-10-18 10:27:57,24
2016-10-18 10:28:07,25
2016-10-18 10:28:17,24
2016-10-18 10:28:27,25
2016-10-18 10:28:37,24
2016-10-18 10:28:47,24
2016-10-18 10:28:57,25
2016-10-18 10:29:07,24
2016-10-18 10:29:17,24
2016-10-18 10:29:27,25
2016-10-18 10:29:37,24
2016-10-18 10:29:47,25
2016-10-18 10:29:57,24
2016-10-18 10:30:07,25
2016-10-18 10:30:17,25
2016-10-18 10:30:27,25
2016-10-18 10:30:37,24
2016-10-18 10:30:48,24
2016-10-18 10:30:57,24
2016-10-18 10:31:08,25
2016-10-18 10:31:17,25
2016-10-18 10:31:27,25
2016-10-18 10:31:37,24
2016-10-18 10:31:47,24
2016-10-18 10:31:58,25
2016-10-18 10:32:07,25
2016-10-18 10:32:18,25
2016-10-18 10:32:27,24
2016-10-18 10:32:38,24
2016-10-18 10:32:48,24
2016-10-18 10:32:58,25
2016-10-18 10:33:08,25
2016-10-18 10:33:18,25
2016-10-18 10:33:28,24
2016-10-18 10:33:38,25
2016-10-18 10:33:48,24
2016-10-18 10:33:58,25
2016-10-18 10:34:08,24
2016-10-18 10:34:18,25
2016-10-18 10:34:28,24
2016-10-18 10:34:38,25
2016-10-18 10:34:48,25
2016-10-18 10:34:58,25
2016-10-18 10:35:08,24
2016-10-18 10:35:18,25
2016-10-18 10:35:28,25
2016-10-18 10:35:38,25
2016-10-18 10:35:48,25
2016-10-18 10:35:58,25
2016-10-18 10:36:08,24
2016-10-18 10:36:18,25
2016-10-18 10:36:28,24
2016-10-18 10:36:38,24
2016-10-18 10:36:48,24
2016-10-18 10:36:58,24
2016-10-18 10:37:08,24
2016-10-18 10:37:18,24
2016-10-18 10:37:28,24
2016-10-18 10:37:38,24
2016-10-18 10:37:48,25
2016-10-18 10:37:58,24
2016-10-18 10:38:08,24
2016-10-18 10:38:18,24
2016-10-18 10:38:28,24
2016-10-18 10:38:38,24
2016-10-18 10:38:48,25
2016-10-18 10:38:58,25
2016-10-18 10:39:08,24
2016-10-18 10:39:18,24
2016-10-18 10:39:28,25
2016-10-18 10:39:38,24
2016-10-18 10:39:48,25
2016-10-18 10:39:58,24
2016-10-18 10:40:08,25
2016-10-18 10:40:18,24
2016-10-18 10:40:28,24
2016-10-18 10:40:38,24
2016-10-18 10:40:48,25
2016-10-18 10:40:58,25
2016-10-18 10:41:08,25
2016-10-18 10:41:18,24
2016-10-18 10:41:28,24
2016-10-18 10:41:38,24
2016-10-18 10:41:48,24
2016-10-18 10:41:58,24
2016-10-18 10:42:08,25
2016-10-18 10:42:18,24
2016-10-18 10:42:28,24
2016-10-18 10:42:38,24
2016-10-18 10:42:48,25
2016-10-18 10:42:58,25
2016-10-18 10:43:08,24
2016-10-18 10:43:18,25
2016-10-18 10:43:28,25
2016-10-18 10:43:38,24
2016-10-18 10:43:48,24
2016-10-18 10:43:58,25
2016-10-18 10:44:08,25
2016-10-18 10:44:18,25
2016-10-18 10:44:28,24
2016-10-18 10:44:38,24
2016-10-18 10:44:48,25
2016-10-18 10:44:58,24
2016-10-18 10:45:09,24
2016-10-18 10:45:18,24
2016-10-18 10:45:28,24
2016-10-18 10:45:38,25
2016-10-18 10:45:48,24
2016-10-18 10:45:58,25
2016-10-18 10:46:08,24
2016-10-18 10:46:18,25
2016-10-18 10:46:29,24
2016-10-18 10:46:38,25
2016-10-18 10:46:49,24
2016-10-18 10:46:58,24
